"REMOTE"," STATION","FF","SEN/DIS"," 7-D AFAS UNL","30-D AFAS/RMF UNL","JOINT RR TKT","7-D UNL","30-D UNL","14-D RFM UNL","1-D UNL","14-D UNL","7D-XBUS PASS","TCMC","LIB SPEC SEN","RR UNL NO TRADE","TCMC ANNUAL MC","MR EZPAY EXP","MR EZPAY UNL","PATH 2-T","AIRTRAIN FF","AIRTRAIN 30-D","AIRTRAIN 10-T","AIRTRAIN MTHLY","STUDENTS","                                                                                          "
"R001","WHITEHALL STREET              ",67019,2193,276,866,379,23042,34141,0,0,0,0,707,0,911,2661,881,264,0,624,0,0,0,3554,"                                                                                                                               "
"R002","FULTON ST & BROADWAY NASSAU   ",13944,428,36,117,27,3751,9122,0,0,0,0,172,0,40,443,134,82,0,118,0,0,0,597,"                                                                                                                               "
"R003","CYPRESS HILLS                 ",3053,100,13,26,4,1391,1049,0,0,0,0,10,0,0,73,11,1,0,5,0,0,0,927,"                                                                                                                               "
"R004","75TH STREET & ELDERTS LANE    ",7307,247,27,91,0,2843,3324,0,0,0,0,45,0,10,187,13,19,0,16,0,0,0,4794,"                                                                                                                               "
"R005","85TH STREET & FOREST PKWAY    ",8219,365,34,125,1,2937,4293,0,0,0,0,35,0,0,155,25,28,0,30,0,0,0,2202,"                                                                                                                               "
"R006","WOODHAVEN BOULEVARD           ",8293,328,34,134,2,4073,4736,0,0,0,0,56,0,18,200,39,29,0,23,0,0,0,2089,"                                                                                                                               "
"R007","104TH STREET                  ",5899,198,17,43,2,2119,2587,0,0,0,0,39,0,4,93,20,11,0,26,0,0,0,1458,"                                                                                                                               "
"R008","111TH STREET                  ",5243,173,33,61,3,1946,2039,0,0,0,0,15,0,4,102,25,14,0,20,0,0,0,3039,"                                                                                                                               "
"R009","121ST STREET                  ",4582,162,35,44,10,2064,2080,0,0,0,0,3,0,5,89,50,13,0,9,0,0,0,966,"                                                                                                                               "
"R010","42ND STREET & 8TH AVENUE      ",87562,3650,347,1063,127,34257,48298,0,0,0,0,451,0,260,2140,831,526,0,1117,0,0,0,3338,"                                                                                                                               "
"R011","42ND STREET & 8TH AVENUE      ",211456,7733,477,1331,127,27983,61995,0,0,0,0,1167,0,126,2439,3005,653,0,1013,0,0,0,2024,"                                                                                                                               "
"R012","34TH STREET & 8TH AVENUE      ",189860,6741,539,1314,4694,32757,62560,0,0,0,0,1193,0,8167,2923,3287,710,0,1228,0,0,0,3186,"                                                                                                                               "
"R013","34TH STREET & 8TH AVENUE      ",49201,1946,157,642,1232,12742,29757,0,0,0,0,388,0,2889,1015,783,281,0,410,0,0,0,1135,"                                                                                                                               "
"R014","FULTON STREET                 ",86294,2502,208,495,772,19243,48688,0,0,0,0,790,0,2214,2348,1386,551,0,514,0,0,0,3075,"                                                                                                                               "
"R015","FIFTH AVENUE                  ",71290,2159,89,329,1207,10737,28332,0,0,0,0,1171,0,2230,2219,1704,326,0,434,0,0,0,539,"                                                                                                                               "
"R016","LEXINGTON AVENUE              ",21804,1009,51,221,83,5254,13861,0,0,0,0,310,0,165,655,335,147,0,165,0,0,0,234,"                                                                                                                               "
"R017","LEXINGTON AVENUE              ",89779,4244,208,849,927,14666,49028,0,0,0,0,1270,0,1928,2874,2060,639,0,575,0,0,0,2961,"                                                                                                                               "
"R018","ROOSEVELT AVE/JACKSON HTS     ",87133,6379,705,2621,26,41683,95595,0,0,0,0,360,0,93,4083,580,322,0,363,0,0,0,8297,"                                                                                                                               "
"R019","179TH STREET & HILLSIDE AVE   ",32959,1742,215,839,2,15131,28095,0,0,0,0,418,0,26,2312,309,108,0,116,0,0,0,3683,"                                                                                                                               "
"R020","47-50 STREETS/ROCKEFELLER     ",145661,6399,372,1296,716,34744,87837,0,0,0,0,2094,0,1155,5001,2319,911,0,812,0,0,0,3222,"                                                                                                                               "
"R021","42ND STREET & 6TH AVENUE      ",89674,3800,273,966,131,22580,69422,0,0,0,0,1467,0,201,4356,1388,700,0,473,0,0,0,1962,"                                                                                                                               "
"R022","34TH STREET & 6TH AVENUE      ",171090,7237,592,1750,720,57602,112928,0,0,0,0,1503,0,1251,6113,1621,869,0,1034,0,0,0,5206,"                                                                                                                               "
"R023","34TH STREET & 6TH AVENUE      ",145212,5148,460,1281,648,29499,77398,0,0,0,0,1416,0,1112,3122,2029,849,0,746,0,0,0,2391,"                                                                                                                               "
"R024","SUTPHIN BOULEVARD             ",43566,1634,290,496,419,21615,20754,0,0,0,0,107,0,669,1226,284,91,0,6382,0,0,0,2467,"                                                                                                                               "
"R025","JAMAICA CENTER-PARSONS BLVD   ",61408,1652,503,1108,30,40564,38365,0,0,0,0,194,0,31,3143,127,114,0,328,0,0,0,7183,"                                                                                                                               "
"R027","WALL STREET                   ",65789,2197,92,441,1986,10113,40593,0,0,0,0,802,0,5077,2283,1276,408,0,341,0,0,0,1559,"                                                                                                                               "
"R028","FULTON & WILLIAM STREETS      ",54360,2629,198,711,528,14970,39696,0,0,0,0,496,0,1311,2385,639,406,0,389,0,0,0,3053,"                                                                                                                               "
"R029","PARK PLACE                    ",146171,4925,401,1238,1245,28100,74304,0,0,0,0,1269,0,2749,2556,2083,979,0,964,0,0,0,6882,"                                                                                                                               "
"R030","CHAMBERS STREET               ",53438,2320,160,560,664,14084,36562,0,0,0,0,476,0,1768,1278,734,302,0,278,0,0,0,10569,"                                                                                                                               "
"R031","34TH STREET & 7TH AVENUE      ",100718,4392,296,856,2173,22650,39070,0,0,0,0,731,0,5003,2597,1825,442,0,501,0,0,0,2567,"                                                                                                                               "
"R032","42ND STREET/TIMES SQUARE      ",85012,3291,262,825,215,20290,65267,0,0,0,0,1136,0,222,3229,1328,594,0,322,0,0,0,1070,"                                                                                                                               "
"R033","42ND STREET/TIMES SQUARE      ",183681,6561,510,1512,609,68983,87138,0,0,1,0,1052,0,940,4511,1807,789,0,1662,0,0,0,6236,"                                                                                                                               "
